venue_id,shows,first_visit,latest_visit,venue_name_recorded,city_id,city,state_region,canonical_venue_name,latitude,longitude,geocode_status
102,9,1999-09-29,2021-11-13,Park West,39,Chicago,Illinois,Park West,,,unresolved
103,1,2021-10-09,2021-10-09,Radius,39,Chicago,Illinois,Radius,,,unresolved
104,1,2008-04-23,2008-04-23,Reggie's,39,Chicago,Illinois,Reggie's,,,unresolved
105,24,1997-03-01,2017-03-18,Riviera,39,Chicago,Illinois,Riviera,,,unresolved
106,1,2018-01-27,2018-01-27,Riviera Theater,39,Chicago,Illinois,Riviera Theater,,,unresolved
107,1,2010-04-24,2010-04-24,Rubloff Auditorium,39,Chicago,Illinois,Rubloff Auditorium,,,unresolved
108,2,2023-08-16,2025-06-20,Salt Shed,39,Chicago,Illinois,Salt Shed,,,unresolved
109,12,2002-08-15,2012-07-27,Schubas,39,Chicago,Illinois,Schubas,,,unresolved
110,1,2012-06-02,2012-06-02,Sheffield & Addison,39,Chicago,Illinois,Sheffield & Addison,,,unresolved
111,2,1997-06-29,2011-07-05,Soldier Field,39,Chicago,Illinois,Soldier Field,,,unresolved
112,1,2012-04-08,2012-04-08,Subterranean,39,Chicago,Illinois,Subterranean,,,unresolved
113,1,2010-09-26,2010-09-26,The Hideout,39,Chicago,Illinois,The Hideout,,,unresolved
114,5,2009-08-22,2012-04-14,The Vic,39,Chicago,Illinois,The Vic,,,unresolved
115,1,2001-12-07,2001-12-07,Top Note Theatre,39,Chicago,Illinois,Top Note Theatre,,,unresolved
116,1,2012-05-10,2012-05-10,Township,39,Chicago,Illinois,Township,,,unresolved
117,1,2004-07-18,2004-07-18,Tweeter Center,39,Chicago,Illinois,Tweeter Center,,,unresolved
118,4,2002-10-21,2011-08-25,UIC Pavilion,39,Chicago,Illinois,UIC Pavilion,,,unresolved
119,1,2010-09-04,2010-09-04,Union Park,39,Chicago,Illinois,Union Park,,,unresolved
120,6,1999-10-07,2009-08-23,United Center,39,Chicago,Illinois,United Center,,,unresolved
121,12,1997-08-14,2017-08-02,Vic,39,Chicago,Illinois,Vic,,,unresolved
122,2,2005-05-03,2008-04-08,WTTW Grainger Studio,39,Chicago,Illinois,WTTW Grainger Studio,,,unresolved
